name,description,category
Hackatown Porto Alegre | Mobilidade,"Vamos repensar a mobilidade urbana de Porto Alegre?💡 <br>// Hacka o que? <br>Dividido em três dias imersivos, o Hackatown é um espaço de cocriação de soluções para a cidade. Hackatown vem de hackear a cidade, afinal hacker é aquele que observa tudo ao seu redor e com muita empatia, busca criar maneiras de gerar inovação. Nossa grande missão é gerar impacto positivo, sendo uma abordagem livre e aberta para qualquer comunidade ♥<br>// Sobre essa edição: <br>       Nesta edição o Hackatown propõe um desafio maior: que tal ajudar a repensar a mobilidade urbana de toda Porto Alegre? Isso mesmo, dessa vez o grande desafio passa por inúmeras questões do dia a dia de todos os portoalegrenses: ônibus lotado, falta de ciclovias, trânsito, calçadas sem acessibilidade e diversas outras questões que envolvem a locomoção na cidade!<br>	E sabe o mais legal? As ideias criadas nesta edição terão a oportunidade de entrar no Plano de Mobilidade Urbana de Porto Alegre, que está sendo construído com o apoio técnico da WRI Brasil e do Ministério das Cidades, que desenvolveram juntos a metodologia Como Construir um Plano de Mobilidade em Sete Passos. Dentre esses passos, está presente a consulta pública e participação social e nada como um Hackatown para envolvermos diversas pessoas para repensarem os problemas de mobilidade urbana e criarem novas soluções! <br>       O objetivo é desenvolver ideias de projetos que poderão ser incorporados no Plano de Mobilidade Urbana da cidade. A construção do plano é uma oportunidade de pensarmos juntos o planejamento dos investimentos em mobilidade na cidade nos próximos 10 anos. Além disso, a cidade só pode acessar recursos federais para mobilidade se tiver seu plano finalizado até abril. Então bora ajudar a construir o futuro da nossa cidade?<br>_____________<br>Tá afim de hackear Porto Alegre, repensando toda sua mobilidade?<br>✓ As inscrições são gratuitas e limitadas em 60 vagas;<br>✓ Não há pré requisitos para participação;<br>✓ As ideias não precisam possuir base tecnológica (plataformas, aplicativos ou qualquer tipo de tecnologia)<br>✓ As ideias que surgem no evento serão selecionadas para serem incorporadas ao Plano de Mobilidade Urbana de Porto Alegre.<br>🚩 As vagas são gratuitas e limitadas! Então se tu quer transformar a cidade com a gente, garante logo a tua participação aqui: <br>______________<br>Hackatown POA - Mobilidade<br>📅 18, 19 e 20 de janeiro<br>🚩HORÁRIOS:<br>// Sexta 18.01: 18h às 21h30<br>// Sábado 19.01: 8h30 às 19h<br>// Domingo 20.01: 8h30 às 19h<br>🚩LOCAL: <br>🚩AGENDA: em breve divulgaremos a agenda completa com todas as novidades dessa edição!<br>Parceiros: <br> | <br> | <br> | <br> | <br> | <br>+infos com renata@pointfc.com",Causes
Frida Kahlo À Revolução! no 20º Porto Verão Alegre,"Frida Kahlo, à Revolução! no Porto Verão Alegre 2019<br>Dias 1, 2 e 3 de fevereiro - 21h<br>Theatro São Pedro<br>Frida Kahlo, à Revolução! é livremente inspirada na vida e obra da poderosa pintora mexicana. Sua correspondência e suas pinturas nos conduzem por esta redescoberta ética e estética, focada no princípio revolucionário da arte como denúncia solidária. Com dramaturgia  e trilha sonora originais a montagem completa 10 anos em 2019, tendo cumprido temporadas no Sul e Região Central do Brasil, além de uma turnê no México/2015 e na Argentina/2017.  <br>Teatro | Duração: 60min | Classificação: 12 anos<br>Direção: Daniel Colin , Atuação e Dramaturgia: Juçara Gaspar , Trilha Sonora: Luciano Alves, Criação de Luz: Carol Zimmer, Cenografia: Lara Coletti, Orientação figurino: Rô Cortinhas, Operador de Luz: Vinícius Lopes, Operador de Som: Luciano Fly, Assistente de som: Ariel Gaspar, Preparação Coreográfica: Daniele Zill, Produção: Juçara Gaspar, Lara Coletti / A Cia. Dramática<br>O Porto Verão Alegre completa 20 anos!<br>A programação tá incrível: acessa aqui:",Theater
Feira Vegana Noturna,Feira de produtos veganos,Causes
Feira do Aeromovel 10ª ed. - 26/01,"Dia 26/01 a AEROFEIRA chega à sua 10ª edição!<br>Vem prestigiar marcas locais, pequenos empreendedores e compartilhar experiências com a gente aqui na Praça Julio Mesquita ♥<br>A Aerofeira acontece de frente para a Orla do Guaíba, na Praça do antigo Aeromovel. Um público lindo ocupando a Praça, expositores de marcas locais, gastronomia, cultura, arte e cidadania. <br>Atrações divulgadas em breve:<br>16h - Papo na Praça<br>+<br>Discotecagem a tarde toda.<br>Quer expor conosco, se apresentar, tem dúvidas? <br>feiradoaeromovel@gmail.com<br>Vagas com curadoria, limitadas.<br>SERVIÇO:<br>Quando? 26/01/2019 (sábado)<br>Horário? 14h às 21h<br>Onde? Praça Júlio Mesquita, em frente ao Gasômetro, Centro Histórico<br>Entrada franca!<br>Fanpage: <br>Produção: <br> & ",Wellness
Porto Alegre - Capacitação para um Ativismo Vegano Eficaz,"PORTO ALEGRE - 12-14 FEV<br>A Sociedade Vegetariana e o CEVA - Center for Effective Vegan Advocacy - trazem para o Brasil a primeira Capacitação para um Ativismo Vegano Eficaz. O curso - com duração total de 12 horas - é ministrado pela psicóloga Dra. Melanie Joy - autora do livro ""Por que amamos cachorros, comemos porcos e vestimos vacas"" - e o estrategista Tobias Leenaert - autor do site <br> - e visa aumentar o impacto de cada ativista e fornecer ferramentas que possam aumentar a eficácia dos seus grupos e organizações.<br>A capacitação acontecerá em 2 cidades brasileiras:<br>▫ PORTO ALEGRE: 12-14/fev - 19h às 22h30<br>IPA (Auditório da Biblioteca) Rua Cel. Joaquim Pedro User, 80 - Rio Branco - Porto Alegre/RS<br>▫ SÃO PAULO: 16-17/fev - 9h às 17h<br>Auditório da Universidade Anhembi Morumbi - Vila Olímpia<br>Rua Casa do Ator, 275<br>✔ Inscrições abertas: <br>Apoio: Mercy For Animals Brasil e Fórum Animal",Causes
7ª Feira Brasileira do Varejo,"Está chegando a hora da 7ª edição da Feira Brasileira do Varejo. Encontre grandes nomes do mercado. Conheça de perto o que tem de mais inovador no varejo. Faça networking e prospecte novos negócios. <br>E, ainda, participe do Congresso Brasileiro do Varejo, que traz personalidades nacionais e internacionais para falar sobre tendências e debater os desafios do setor no Brasil e no Mundo. São mais de 40 palestrantes para mais de 20 horas de debate. <br>Confirme presença no evento e fique ligado em nossas redes sociais para acompanhar as novidades que preparamos para 2019!<br>Venha para a FBV e viva o varejo em tempo real. ",Networking
Festa Goodbye Lenin · 11.01 · Sexta · no Ocidente,"Festa Goodbye Lenin no Ocidente ♥ A primeira de 2019 !<br>11 de Janeiro, Sexta, está aberta nossa temporada no casarão da João Telles com Osvaldo. Vamos ocupar mais uma vez o <br> em uma noite de intensa viagem sonora e visual ♥<br>02 PISTAS | PROJEÇÕES | INTERVENÇÃO ARTÍSTICA | EXIBIÇÃO DE CURTAS<br>_______________________________<br>♪ Pista Goodbye Lenin ♪<br>|| Line Up ||<br>Jade Primavera<br>Léo Tieboehl<br>Mike Ricardo<br>Duds<br>~ Uma mistura de indie rock com eletropop, jazz, pop, funk , rock, soul. ~<br>♪ Pista Terra em Transe ♪<br>|| Line Up || <br>Joelma Terto<br>Lucas Pitta<br>& Convidados<br>~ Brasilidades à flor da pele ~<br>EXIBIÇÃO DE CURTAS<br>Programação em breve.<br>PROJEÇÕES MAPEADAS<br>VJ Jana Castoldi / <br>_________________________________<br>DATA<br>11.01 – Sexta<br>HORÁRIO<br>22h00<br>LOCAL<br>Ocidente<br>João Telles, esquina com Osvaldo<br>Bom Fim<br>ENTRADA<br>// antecipados //<br>R$ 20 – Antecipado Promocional: (esgotados)<br>R$ 25 – Antecipado Preço de Lista: (esgotados)<br>R$ 30 - Antecipado Normal:  <br>// na hora //<br>R$ 25 – Com lista até às 23h<br>R$ 30 – Sem lista ou após 23h<br>Antecipado Online > + 10% da taxa de serviço com entrada preferencial e garantida toda noite / limitados <br>Lista > Confirmando no Evento até às 18h de 11.01 (não vale o 'tenho interesse')<br>_________________________________<br>ANIVERSÁRIOS | FUNCIONAMENTO<br>|| LISTAS E VANTAGENS ENCERRADAS<br>> somente os contatos respondidos e validados estarão na porta no dia da festa<br> ♥<br>Artes: Bruno Ost<br>Fotos: Enrique User<br>Apoio Cultural: Curtas na Noite<br>* obrigatória apresentação de documento original com foto / entrada somente para maiores ",Party
Workshop Dia-A-Dia Vegano!,"Gostaria de aprender mais sobre o veganismo e como preparar pratos para o dia a dia?! Esse é o workshop perfeito para você :)<br>Com palestra da nutricionista Maria Julia Rosa e curso com VeganChef Leela Orth, o workshop será teórico-prático com palestra + oficina culinária + degustação dos pratos feitos!<br>A nutricionista irá orientar e exemplificar quais alimentos devem ser consumidos e formas de adequar a alimentação para a promoção de um melhor equilíbrio alimentar e para a prevenção de doenças; já a VeganChef ensinará pratos fáceis, saudáveis e práticos, com base nas orientações nutricionais, para auxiliar no entendimento e aplicação no dia-a-dia. Teremos duas opções de café da manhã, duas de almoço e janta e quatro lanches.<br>O workshop é para pessoas de todas as idades, com qualquer conhecimento culinário (do básico ao avançado) que querem melhorar sua relação com a alimentação. <br>Valor: R$ 180,00 público geral e R$ 130,00 estudantes e afiliados SVB<br>Curtiu? Garante a tua inscrição através do e-mail contato@verestaurante.com.br :)",Food
Ciclo De Estudos e Pratica do Yoga Nivel #2,"Para quem quiser dar continuidade ou retomar seus estudos, se aprofundar e consolidar o conhecimento assimilado no C.E.P.Y nivel 1, desenvolvemos este segundo ciclo.<br>As praticas continuam seguindo o metodo tradicional da Bihar School of Yoga, India conforme a formação dos profes ministrantes. <br>Os praticantes abordarão praticas mais avançadas e Yoga Nidra.<br>Datas do encontros para 2019:<br>27 de abril;<br>29 de junho;<br>31 de agosto.<br>(possivelmente um 4° encontro a confirmar)<br>Prerequisito : participação do Ciclo de Estudos e Pratica do Yoga nivel 1. <br>Os professores da Escola Pashupata Yoga, Ayurveda e Tantra:<br>Vivian Scussel Demarchi (Sannyasi Sanmitra) ensina há mais de 15 anos de forma simples e acessível a diversos públicos (especializada em gestantes, idosos e crianças). Diplomada em licenciatura plena em Educação Física pela UFRGS, a sua formação em Yoga iniciou em 2001, com os Professores Cosmelli e Vera Lucia Dias, em Porto Alegre.<br>Em 2005 participou da Convenção Internacional de Yoga na Colômbia onde recebeu sua iniciação espiritual e em 2006 foi certificada em Yogic Studies (estudos yogues) pela Bihar Yoga Bharati, Munger, na Índia onde ela viaja anualmente conciliando estilo de vida yoguico e estudos no ashram e também se especializou no ensino do Yoga para crianças com Rishi Swami Arundhati Saraswati (Canada).<br>Ao longo dos últimos dez anos ela viveu em ashrams na França e na Índia onde ensinou e aprofundou suas experiências e aprendizados nos diversos ramos do Yoga. <br>Formada como terapeuta Ayurvédica por Yoga Brahma Vidyalaya (Brazil) e American Institute of Vedic Studies (EUA), ela se especializa em diagnosticos, oleos essenciais e cosmeticos na perspectiva da saude. <br>Philippe Prin (Sannyasi Pranananda) nasceu na França onde, depois de se formar em línguas estrangeiras e filosofia, gestão de florestas e preservação da natureza, aprofundou seus estudos em Yoga: primeiramente com os ensinamentos do professor André Van Lysebeth e depois no Yogashram de l’Aube/França, onde vivenciou o estilo de vida yogue por 6 anos, sendo treinado e formado como professor nas disciplinas e ramos da tradição do Bihar Yoga pelas Swamis Brahmatattwa e Devanath Saraswati.<br>Iniciado espiritualmente em 2006, ele viaja desde então anualmente até a Índia para aprimorar seu conhecimento e continuar seu caminho espiritual, vivendo no ashram da Bihar School of Yoga, Munger, e no sul da Índia onde vai se retirar em um eremitério para experimentar o estilo de vida não-dual do Advaita-vedanta com Swami Pranavananda Brahmendra Avadhuta. <br>Especializado em raja yoga, kriya yoga e meditação, ele ensina de uma maneira pratica e didática.<br>Em 2013 ambos realizaram um treinamento de sannyasins no Sannyasa Peeth/Bihar School of Yoga, India, com o Swami Niranjanananda Saraswati que os ensinou praticas de meditação tantricas. Eles vivenciaram o estilo de vida de renunciante e receberam ensinos em sânscrito e cerimônias védicas.<br>Em novembro de 2016 encontraram o Shaktipatacharya Mahamandaleshwar Sri Swami Nardanand ji Maharaj, que os iniciou por meditação shaktipat na tradição do Siddha Maha Yoga e receberam Vanaprashta Diksha pelo mesmo em Fevereiro 2018 no Siddha Ashram, Ujjain, India.<br>Há 5 anos no Brasil, eles organizam oficinas, retiros e formações, em português, inglês e francês.<br>Inscrições abertas. <br>Para mais informações recebemos suas perguntas:<br>- inbox<br>- por e-mail pashupatayoga@gmail.com<br>- whatsapp 51.9920.50839 ou 51.9927.55119<br>HARI OM TAT SAT",Wellness
Veraneio ecológico na Feira do Bom Fim - Oficinas de Verão,"Cadeirinhas de praia, uma roda de conversa, a sombra das tipuanas, um mate e muita troca... Esse é o clima que a segunda quadra da Feira Ecológica da Redenção vai proporcionar a cada quinzena nas manhãs de sábado, na Avenida José Bonifácio, pertinho da Vieira de Castro. Intitulada Veraneio com Ecologia no Bom Fim, a série de atividades gratuita inicia no dia 12 de janeiro e encerra em 9 de fevereiro, unindo informação e descontração em oficinas curtas, no ritmo da estação mais quente do ano.<br>Na primeira edição, a convidada é a permacultora Kátia Almeida, que falará sobre como é possível cultivar hortas em pequenos espaços. A atividade ocorre das 9h às 11h, com formato dinâmico, ou seja, as informações serão repassadas conforme as demandas dos consumidores e curiosos, com diversos exemplos práticos.<br>Em caso de chuva, a atividade será transferida. Em breve, a programação completa!<br>O que: Veraneio com Ecologia no Bom Fim<br>Oficina: Hortas em pequenos espaços: tem como!, com a permacultora Kátia Almeida, do Sítio Verde Viver Itapuã<br>Quando: 12 de janeiro, sábado<br>Horário: 9h às 11h<br>Atividade gratuita",Wellness
