name,address,datetimes,place,organizers,description,categories,event_url,label,label_b,label_c,label_d
Hackatown Porto Alegre | Mobilidade,"Avenida Ipiranga, 6681, 90610-001 Porto Alegre",['2019-01-18 06:00:00'],TECNOPUC,"['Hackatown', 'Shoot The Shit', 'Mercado Brasco', 'Minha Porto Alegre', 'Point - Facilitação Criativa']","Vamos repensar a mobilidade urbana de Porto Alegre?💡 <br>// Hacka o que? <br>Dividido em três dias imersivos, o Hackatown é um espaço de cocriação de soluções para a cidade. Hackatown vem de hackear a cidade, afinal hacker é aquele que observa tudo ao seu redor e com muita empatia, busca criar maneiras de gerar inovação. Nossa grande missão é gerar impacto positivo, sendo uma abordagem livre e aberta para qualquer comunidade ♥<br>// Sobre essa edição: <br>       Nesta edição o Hackatown propõe um desafio maior: que tal ajudar a repensar a mobilidade urbana de toda Porto Alegre? Isso mesmo, dessa vez o grande desafio passa por inúmeras questões do dia a dia de todos os portoalegrenses: ônibus lotado, falta de ciclovias, trânsito, calçadas sem acessibilidade e diversas outras questões que envolvem a locomoção na cidade!<br>	E sabe o mais legal? As ideias criadas nesta edição terão a oportunidade de entrar no Plano de Mobilidade Urbana de Porto Alegre, que está sendo construído com o apoio técnico da WRI Brasil e do Ministério das Cidades, que desenvolveram juntos a metodologia Como Construir um Plano de Mobilidade em Sete Passos. Dentre esses passos, está presente a consulta pública e participação social e nada como um Hackatown para envolvermos diversas pessoas para repensarem os problemas de mobilidade urbana e criarem novas soluções! <br>       O objetivo é desenvolver ideias de projetos que poderão ser incorporados no Plano de Mobilidade Urbana da cidade. A construção do plano é uma oportunidade de pensarmos juntos o planejamento dos investimentos em mobilidade na cidade nos próximos 10 anos. Além disso, a cidade só pode acessar recursos federais para mobilidade se tiver seu plano finalizado até abril. Então bora ajudar a construir o futuro da nossa cidade?<br>_____________<br>Tá afim de hackear Porto Alegre, repensando toda sua mobilidade?<br>✓ As inscrições são gratuitas e limitadas em 60 vagas;<br>✓ Não há pré requisitos para participação;<br>✓ As ideias não precisam possuir base tecnológica (plataformas, aplicativos ou qualquer tipo de tecnologia)<br>✓ As ideias que surgem no evento serão selecionadas para serem incorporadas ao Plano de Mobilidade Urbana de Porto Alegre.<br>🚩 As vagas são gratuitas e limitadas! Então se tu quer transformar a cidade com a gente, garante logo a tua participação aqui: <br>______________<br>Hackatown POA - Mobilidade<br>📅 18, 19 e 20 de janeiro<br>🚩HORÁRIOS:<br>// Sexta 18.01: 18h às 21h30<br>// Sábado 19.01: 8h30 às 19h<br>// Domingo 20.01: 8h30 às 19h<br>🚩LOCAL: <br>🚩AGENDA: em breve divulgaremos a agenda completa com todas as novidades dessa edição!<br>Parceiros: <br> | <br> | <br> | <br> | <br> | <br>+infos com renata@pointfc.com",['Causes'],https://www.facebook.com/events/283974625654238,geek,hackahton,,
Frida Kahlo À Revolução! no 20º Porto Verão Alegre,"Praça Marechal Deodoro, S/N, 90010300 Porto Alegre","['2019-02-01 21:00:00', '2019-02-02 21:00:00', '2019-02-03 21:00:00']",Theatro São Pedro,"['Frida Kahlo, à Revolução', 'Porto Verão Alegre', 'Juçara Gaspar', 'A Cia Dramática']","Frida Kahlo, à Revolução! no Porto Verão Alegre 2019<br>Dias 1, 2 e 3 de fevereiro - 21h<br>Theatro São Pedro<br>Frida Kahlo, à Revolução! é livremente inspirada na vida e obra da poderosa pintora mexicana. Sua correspondência e suas pinturas nos conduzem por esta redescoberta ética e estética, focada no princípio revolucionário da arte como denúncia solidária. Com dramaturgia  e trilha sonora originais a montagem completa 10 anos em 2019, tendo cumprido temporadas no Sul e Região Central do Brasil, além de uma turnê no México/2015 e na Argentina/2017.  <br>Teatro | Duração: 60min | Classificação: 12 anos<br>Direção: Daniel Colin , Atuação e Dramaturgia: Juçara Gaspar , Trilha Sonora: Luciano Alves, Criação de Luz: Carol Zimmer, Cenografia: Lara Coletti, Orientação figurino: Rô Cortinhas, Operador de Luz: Vinícius Lopes, Operador de Som: Luciano Fly, Assistente de som: Ariel Gaspar, Preparação Coreográfica: Daniele Zill, Produção: Juçara Gaspar, Lara Coletti / A Cia. Dramática<br>O Porto Verão Alegre completa 20 anos!<br>A programação tá incrível: acessa aqui:","['Theater', 'Drama (theater)']",https://www.facebook.com/events/1280587702094834,cult,teatro,,
Feira Vegana Noturna,"Rua Antão de Faria, 50, 90035-210 Porto Alegre",['2019-01-09 07:00:00'],Órbita Coworking,['Feira Vegana de Porto Alegre'],Feira de produtos veganos,"['Causes', 'Kid Friendly', 'Vegan']",https://www.facebook.com/events/2042768449135744,hipster,feira,,
Carnaval de Rua do Bloco da Diversidade,,['2019-03-10 03:00:00'],Porto Alegre,['Bloco da Diversidade'],"Para! Escuta!<br>Continuaremos na luta!<br>Sim, continuaremos na luta. Agora mais do que nunca precisamos resistir.<br>Resistir aos ataques sobre nossos direitos, sobre nossa diversidade.<br>Não vão nos calar! <br>O B❤️D irá para rua denunciar e resistir aos ataques que certamente irão acontecer. Os Direitos dxs trabalhadorxs, das LGBTs, dxs negrxs e de todas as minorias estarão em jogo, inclusive os seus.<br>Diante de tudo isso vamos resistir. E somente todxs juntxs é que poderemos enfrentar esse sombrio governo que está por assumir, porque individualmente seremos levadxs a solidão e ao isolamento.<br>Essa luta precisa de você! <br>De todxs nós!<br>Nosso carnaval se aproxima e com ele a renovação da esperança e da luta. Precisamos de todxs. Ocupar as ruas, os espaços públicos nunca se fez tão importante e necessário. Teremos que estar juntos nessa grande caminhada pela conservação de nossa democracia e de nossas vidas.<br>Quando os surdos marcarem, o tamborim chamar, o repinique explodir e a caixa nos ditar o ritmo, som irá se espalhar como purpurina e desse grande arco-íris irá mostrar que estaremos vivxs, lutando e resistindo! O carnaval será a alegria e disposição das lutas futuras<br>.<br>O <br> conclama a todas as forças políticas, os blocos a estarem juntxs, mostrando a cara e a coragem e assim fazendo a resistência, e principalmente de você.<br> Nunca irão nos calar! Não largue a mão de ninguém, agora mais do que nunca todxs nós precisaremos uns dos outros.<br>Nosso carnaval não irá acabar porque a cada amanhecer saberemos que não estamos sozinhxs!<br>Vem junto, resistir!<br>Vem junto lutar!  ✊🏿🥁",['Causes'],https://www.facebook.com/events/1773912142731195,praieiro,festa,,
Feira do Aeromovel 10ª ed. - 26/01,"Praça Júlio Mesquita, 90030-150 Porto Alegre",['2019-01-26 02:00:00'],Feira do Aeromovel,['Feira do Aeromovel'],"Dia 26/01 a AEROFEIRA chega à sua 10ª edição!<br>Vem prestigiar marcas locais, pequenos empreendedores e compartilhar experiências com a gente aqui na Praça Julio Mesquita ♥<br>A Aerofeira acontece de frente para a Orla do Guaíba, na Praça do antigo Aeromovel. Um público lindo ocupando a Praça, expositores de marcas locais, gastronomia, cultura, arte e cidadania. <br>Atrações divulgadas em breve:<br>16h - Papo na Praça<br>+<br>Discotecagem a tarde toda.<br>Quer expor conosco, se apresentar, tem dúvidas? <br>feiradoaeromovel@gmail.com<br>Vagas com curadoria, limitadas.<br>SERVIÇO:<br>Quando? 26/01/2019 (sábado)<br>Horário? 14h às 21h<br>Onde? Praça Júlio Mesquita, em frente ao Gasômetro, Centro Histórico<br>Entrada franca!<br>Fanpage: <br>Produção: <br> & ","['Wellness', 'Kid Friendly', 'Farmers market']",https://www.facebook.com/events/881366315400369,praieiro,feira,,
Gramado Summit 2019,95670-000 Gramado,"['2019-07-31 09:00:00', '2019-08-01 09:00:00', '2019-08-02 09:00:00']",Expogramado,['Gramado Summit'],"A Gramado Summit é simplesmente o maior brainstorming do Brasil!<br>O grande objetivo do evento é alavancar o ecossistema brasileiro de startups com a concretização de negócios e conteúdo de qualidade. Unimos os grandes nomes da Nova Economia com players capazes de transformar o empreendedorismo através de palestras insanas.<br>Já estão confirmados em 2019 nomes como Serginho Groisman (Apresentador), Everaldo Coelho (ex-Apple), Guilherme Martins (Play Kids), Priscila Erthal (Organica), Tânia Gomes (Girlboss), Eduardo Lhotellier (Getninjas), Isabela Ventura (Squid), Vitor Peçanha (Rock Content) e Rodrigo Ricco (Octadesk).<br>Com eles, nós debateremos o futuro da inovação e absorveremos o melhor do empreendedorismo brasileiro.<br>Quer mais? Além de muito conteúdo nos palcos, você encontrará as mais inovadoras soluções na feira de negócios. Nela, serão duas centenas de startups, dos mais diferentes tamanhos e mercados, negociando aportes e apresentando soluções para melhorar a vida dos seus negócios.<br>Nós acreditamos que o futuro da economia brasileira será promissor se colocarmos ideias disruptivas e escaláveis em evidência para colaborar com a evolução econômica e social do país.<br>Serão milhares de pessoas em três dias de uma verdadeira imersão no empreendedorismo, transformando a Serra Gaúcha na capital latino-americana de startups e investidores.","['Networking', 'Technology', 'Entrepreneurship']",https://www.facebook.com/events/644931229254830,geek,,,
Mega Revel - Feira Cultural - Edição Férias Praça Júlio Mesquita,"Praça Julio Mesquita, 90010-120 Porto Alegre",['2019-02-16 11:00:00'],Praça Júlio Mesquita,"['Mega Revel - Feira Cultural', 'Encontro de Bandas']","Mais uma realização <br>Dessa vez chegamos na <br> com uma super edição para curtir o mais Lindoo Pôr do Sol para quem estiver em Porto Alegre!!.<br>Curtir o Findi com a Família e os Amigos reunidos é uma delícia. <br>Com Música, Cerveja Artesanal e Comida boa então, nem se fala! <br>Vamos dar Vida aos locais públicos!!!<br>Vamos trazer a Arte e a Música para as Praças e Parques!!! <br>🎭🖼️🎶🎸🎧🎤🥁🎼<br>É possível trazer Vida para as Praças??!!<br>Simm!!<br>Toda Cidade precisa de um lugar onde as pessoas possam se reunir e ouvir uma boa música. <br>É bom pra quem canta, é bom pra quem escuta. <br>Cultura é isso, tem que estar nas ruas, tem que estar no meio do povo.<br>As Praças podem e devem ser ocupadas para o lazer, promovendo e favorecendo a Cultura. <br>Assim o público têm a oportunidade de viver algo diferente em um espaço que acolhe a todos.<br>Nossos eventos são um espaço de Diversidade, a onde todo Gênero, Raça, Cor e Estilo são Bem Vindos.<br>Nosso objetivo é ocupar mais os locais públicos de Porto Alegre que estão abandonados e esquecidos, trazendo assim mais vida para as Praças e Parques.<br>Os visitantes também poderão prestigiar a nossa Feira Cultural com mais de 50 Expositores locais com Trabalhos e Marcas Autorais, dando espaço a Economia Criativa e promovendo o desenvolvimento sustentável.<br>Aqui seu amigo Pet é Bem Vindo!! ♥ ♥<br>EVENTO FREE!!!<br>EM CASO DE CHUVA O EVENTO SERÁ TRANSFERIDO.<br>Em breve divulgaremos todos os participantes aqui no Evento!!<br>Fica ligado!!<br>Acompanhe a nossa página <br>.<br>APOIO: ","['Party', 'Kid Friendly', 'Food festival']",https://www.facebook.com/events/1925308807547375,praieiro,feira,,
"Il Divo ""Timeless - 15º Aniversário"" em Porto Alegre/RS","Av. Osvaldo Aranha s/n° - Farroupilha, 90035-191 Porto Alegre",['2019-05-17 09:00:00'],Auditório Araújo Vianna,"['No Palco', 'Il Divo']","Considerado o grupo de crossover clássico mais bem-sucedido na história da música internacional, o quarteto IL DIVO comemora 15 anos de carreira com a turnê mundial TIMELESS, com quatro apresentações no Brasil. Em Porto Alegre, o show será dia 17 de maio, no Auditório Araújo Vianna. <br>*A pré-venda de ingressos acontece a partir das 10 horas do dia 19 de dezembro, exclusivamente pelo site <br> <br>**Dia 22 de dezembro, também às 10 horas, começa a venda de ingressos para o público em geral.<br>: Timeless - 15º Aniversário<br>Sexta-feira, dia 17 de maio, às 21h<br> - Av. Osvaldo Aranha, 685<br>Classificação: Livre<br>Realização: <br>INGRESSOS<br>Plateia Alta Lateral<br>- Inteira: R$ 300,00<br>- Meia: R$ 150,00<br>Plateia Baixa Lateral<br>- Inteira: R$ 500,00<br>- Meia: R$ 250,00<br>Plateia Alta Central<br>- Inteira: R$ 520,00<br>- Meia: R$ 260,00<br>Plateia Baixa Central<br>- Inteira: R$ 680,00<br>- Meia: R$ 340,00<br>Plateia Gold<br>- Inteira: R$ 750,00<br>- Meia: R$ 375,00<br>PONTOS DE VENDA (a partir do dia 22 de dezembro)<br>Online: <br>#<br>Bilheteria Teatro Bourbon Country<br>Endereço: Av. Túlio de Rose, 80 / 2° andar, Passo D’Areia – Porto alegre - RS<br>Horário de Funcionamento: de Segunda a Sab. das 12h às 22h e Domingos e feriados das 14h às 20h.",['Music'],https://www.facebook.com/events/945313048992041,,show,,
Feira do Vinil de Poa no Casa Azul - 20/01,"Rua Gen. Lima e Silva, 912, 90050-102 Porto Alegre",['2019-01-20 03:00:00'],Casa Azul,['Feira do Vinil de Porto Alegre'],"A Feira do Vinil de Porto Alegre tem como proposta desenvolver e resgatar a cultura dos discos de vinil através de eventos onde aproximam os diversos segmentos que se relacionam com a indústria fonográfica e o público em geral.<br>Nesses cinco anos de existência a Feira do Vinil de Porto Alegre já envolveu mais de 120 expositores e colecionadores de vinil dos mais diversos estados, um público aproximado de 1200 pessoas por feira e a participação artística de mais de 30 DJs de todos os estilos.<br>Nessa edição, a feira dá sequência com a parceria no Casa Azul, lugar lindo no coração da Cidade Baixa Poa.","['Music', 'Kid Friendly', 'Farmers market']",https://www.facebook.com/events/977964769070647,cult,feira,,
Música na Praça Estado de Israel,"Rua Vicente Lopes dos Santos, 90130-140 Porto Alegre",['2019-03-24 11:00:00'],Praca estado de ISrael,"['Mega Revel - Feira Cultural', 'Encontro de Bandas']","REALIZAÇÃO:<br>APOIO:<br>O Projeto Música na Praça realizado pela <br> consiste em promover o reconhecimento de Artistas,<br>reunindo Músicos e Bandas locais.   <br>              <br>Além de valorizar a profissão dos músicos,  Música na Praça é um Evento gratuito para momentos de cultura e lazer.                                              <br>O projeto tem como objetivo, diversificar e democratizar a realização de Eventos em espaços públicos, incentivando o acesso à cultura musical.<br>Vamos dar Vida aos locais públicos!!!<br>Vamos trazer a Arte e a Música para as Praças e Parques!!! <br>🎭🖼️🎶🎸🎧🎤🥁🎼<br>Os visitantes também poderão prestigiar a nossa Feira Cultural com mais de 50 Expositores locais com Trabalhos e Marcas Autorais, dando espaço a Economia Criativa e promovendo o desenvolvimento sustentável.<br>Aqui seu amigo Pet é Bem Vindo!! ♥ ♥<br>EVENTO FREE!!!<br>EM CASO DE CHUVA O EVENTO SERÁ TRANSFERIDO.<br>Curta e acompanha a nossa página no Facebook <br>.<br>Siga no Instagram: @megarevel_feiracultural","['Music', 'Kid Friendly', 'Food festival']",https://www.facebook.com/events/2209980335906904,praieiro,show,,
