event,aventureiro,cult,geek,hipster,praieiro,turista,underground,zeen,resumo
1º Ciclo De Marketing: Pesquisa de Marketing no ambiente digital,0,0,0,0,0,0,0,0,0
30º Café com Consultores da ABCO Porto Alegre,0,0,0,0,0,0,0,0,0
7ª Feira Brasileira do Varejo,0,0,0,0,0,0,0,0,0
Abertura da exposição Homo Machina - esculturas de Paulo Favalli,0,1,1,1,0,0,0,0,3
Alma Lusitana no Cisne Branco - 2ª edição 2019,0,0,0,0,0,0,0,0,0
Alquimia das Ervas,0,0,0,0,0,0,0,1,1
Andando nos Túneis de Salvador do Sul,1,0,0,0,0,0,0,0,1
Arduino Day 2019,0,0,1,0,0,0,0,0,1
As aventuras do pequeno príncipe | Sesc Canoas,0,1,0,0,0,0,0,0,1
As duas Irenes | Sesc Canoas,0,1,0,0,0,0,0,0,1
Asteróide | 5? Kino Beat,0,1,0,0,0,0,0,0,1
Através de Iberê | Francisco Dalcol + Frantz,0,1,0,0,0,0,0,0,1
AutenticaMente: Mindfulness Intermediário e Avançado,0,0,0,0,0,0,0,1,1
Beto Carrero World,0,0,0,0,0,1,0,0,1
Brincando de Todas as Artes - Criação livre para Crianças,0,1,0,0,0,0,0,0,1
Caminhada Noturna 2019,1,0,0,0,0,0,0,0,1
Carnaval de Rua do Bloco da Diversidade,0,0,0,1,0,0,0,0,1
Carnaval Underground II,0,0,0,0,0,0,1,0,1
"CASCATA DA PEDRA BRANCA, POÇO DOS MORCEGOS E POÇO DAS ANDORINHAS",1,0,0,0,0,0,0,0,1
Cerimônia de Oferenda de Lamparinas,0,0,0,0,0,0,0,1,1
Cerimônia Roda de Rapé,0,0,0,0,0,0,0,1,1
Cine Iberê| Cinema mudo com música ao vivo,0,1,0,0,0,0,0,0,1
Congregarh 2019 - Liderança Ágil no Mundo Complexo,,,,,,,,,0
Conversa com a artista Denise Gadelha,0,1,0,0,0,0,0,0,1
Curso Apometria Xamãnica,0,0,0,0,0,0,0,1,1
Curso de Formação em Barras de Access,0,0,0,0,0,0,0,1,1
Curso de Reiki Nivel 1 - O Despertar,0,0,0,0,0,0,0,1,1
Curso de Reiki Nível I,0,0,0,0,0,0,0,1,1
Curso DNA AVANÇADO THETAHEALING™ EM PORTO ALEGRE,0,0,0,0,0,0,0,1,1
Curso Fitocosmética,0,0,0,0,0,0,0,1,1
Curso Intensivo de Fotografia Híbrida - Mód.I,0,1,0,0,0,0,0,0,1
Desbravando Jaquirana,1,0,0,0,0,0,0,0,1
Desenvolva seu Potencial Criativo - Florianópolis,0,0,1,1,0,0,0,0,2
Design Your Life: na prática! - 5ª edição,0,0,1,0,0,0,0,0,1
Dia Internacional do Yoga,0,0,0,0,0,0,0,1,1
Eneagrama autoconhecimento de sua  essência,0,0,0,0,0,0,0,1,1
Espanhol com Arte,0,1,0,0,0,0,0,0,1
Exposição O auge e o abismo,0,1,0,0,0,0,0,0,1
Feira do Aeromovel 10ª ed. - 26/01,0,0,0,1,1,0,0,0,2
Feira do Vinil de Poa no Casa Azul - 20/01,0,1,0,0,0,0,0,0,1
Feira Vegana Noturna,0,0,0,1,0,0,0,0,1
Férias na Biblioteca | Sesc Canoas,0,1,0,0,0,0,0,0,1
Festa da Uva | Fernando e Sorocaba + Amado Batista,0,0,0,0,0,1,0,0,1
Festa da Uva | Zé Neto e Cristiano + Anitta,0,0,0,0,0,1,0,0,1
Festa Da Uva 2019 – Oficial,0,0,0,0,0,1,0,0,1
